timestamp,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,ghi,direct_normal_irradiance,diffuse_radiation,ghi_clearsky,pv_power_predicted,pv_actual,sg_timestamp_naive,utc_timestamp,image_path,time_diff_minutes
2024-01-09 12:00:00,25.8,91,4.2,4.3,100,143.0,0.0,143.0,875.3125568750951,142.5424,122.586464,2024-01-09 12:00:00,2024-01-09 04:00:00+00:00,data/satellite/2024/01/himawari_4d_20240109_040000.png,0.0
2024-01-09 13:00:00,27.5,87,0.7,6.9,99,414.0,130.1,297.0,927.8513551257298,409.86,352.4796,2024-01-09 13:00:00,2024-01-09 05:00:00+00:00,data/satellite/2024/01/himawari_4d_20240109_050000.png,0.0
2024-01-09 14:00:00,29.0,82,0.8,5.2,100,817.0,552.0,314.0,904.3819110562206,803.928,691.37808,2024-01-09 14:00:00,2024-01-09 06:00:00+00:00,data/satellite/2024/01/himawari_4d_20240109_060000.png,0.0
2024-01-09 15:00:00,28.1,81,10.3,8.3,100,491.0,203.3,316.0,806.6723819047464,484.9116,417.023976,2024-01-09 15:00:00,2024-01-09 07:00:00+00:00,data/satellite/2024/01/himawari_4d_20240109_070000.png,0.0
2024-01-09 16:00:00,27.0,88,14.5,7.7,100,233.0,32.0,209.0,642.3003705056678,231.136,198.77696,2024-01-09 16:00:00,2024-01-09 08:00:00+00:00,data/satellite/2024/01/himawari_4d_20240109_080000.png,0.0
2024-01-09 17:00:00,26.8,88,5.7,8.3,91,201.0,39.0,178.0,425.2175276552878,199.5528,171.615408,2024-01-09 17:00:00,2024-01-09 09:00:00+00:00,data/satellite/2024/01/himawari_4d_20240109_090000.png,0.0
2024-01-10 08:00:00,23.8,95,0.0,13.1,100,22.0,0.0,22.0,90.67228881978238,22.1056,19.010815999999995,2024-01-10 08:00:00,2024-01-10 00:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_000000.png,0.0
2024-01-10 09:00:00,23.9,96,3.4,8.1,100,31.0,0.0,31.0,331.68540141954423,31.1364,26.777303999999997,2024-01-10 09:00:00,2024-01-10 01:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_010000.png,0.0
2024-01-10 10:00:00,24.2,95,0.3,11.7,100,62.0,0.0,62.0,563.9071242595415,62.19840000000001,53.490624,2024-01-10 10:00:00,2024-01-10 02:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_020000.png,0.0
2024-01-10 11:00:00,25.3,90,0.3,12.9,100,138.0,0.0,138.0,751.1669718374537,137.83440000000002,118.537584,2024-01-10 11:00:00,2024-01-10 03:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_030000.png,0.0
2024-01-10 12:00:00,26.3,89,0.1,10.6,100,218.0,20.6,201.0,876.3267879521263,216.8664,186.505104,2024-01-10 12:00:00,2024-01-10 04:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_040000.png,0.0
2024-01-10 13:00:00,27.4,86,0.1,12.6,100,358.0,131.2,240.0,929.4453363882224,354.5632,304.924352,2024-01-10 13:00:00,2024-01-10 05:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_050000.png,0.0
2024-01-10 14:00:00,26.4,87,4.3,13.7,100,416.0,57.0,364.0,906.4805319868312,413.6704,355.75654399999996,2024-01-10 14:00:00,2024-01-10 06:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_060000.png,0.0
2024-01-10 15:00:00,28.1,81,0.5,15.7,96,570.0,279.5,329.0,809.1606887917803,562.932,484.12152,2024-01-10 15:00:00,2024-01-10 07:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_070000.png,0.0
2024-01-10 16:00:00,28.0,82,2.1,10.4,95,544.0,356.0,276.0,645.0234885644218,537.472,462.22592,2024-01-10 16:00:00,2024-01-10 08:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_080000.png,0.0
2024-01-10 17:00:00,27.4,84,2.7,14.6,99,505.0,644.0,124.0,427.9657107211811,500.152,430.13072000000005,2024-01-10 17:00:00,2024-01-10 09:00:00+00:00,data/satellite/2024/01/himawari_4d_20240110_090000.png,0.0
2024-01-11 08:00:00,23.6,99,0.0,6.7,100,36.0,86.4,26.0,89.69928879708482,36.2016,31.133376,2024-01-11 08:00:00,2024-01-11 00:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_000000.png,0.0
2024-01-11 09:00:00,26.2,89,0.0,13.0,100,187.0,274.7,105.0,330.9972362410435,186.1024,160.04806399999998,2024-01-11 09:00:00,2024-01-11 01:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_010000.png,0.0
2024-01-11 10:00:00,27.4,86,0.0,10.0,99,350.0,305.6,193.0,563.7624256178896,346.64000000000004,298.1104,2024-01-11 10:00:00,2024-01-11 02:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_020000.png,0.0
2024-01-11 11:00:00,28.8,80,0.1,12.6,99,502.0,445.6,193.0,751.6239687570043,494.3696,425.157856,2024-01-11 11:00:00,2024-01-11 03:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_030000.png,0.0
2024-01-11 12:00:00,29.4,77,0.2,13.6,98,673.0,544.0,224.0,877.3916149490537,661.1552,568.593472,2024-01-11 12:00:00,2024-01-11 04:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_040000.png,0.0
2024-01-11 13:00:00,30.1,76,0.1,11.9,99,650.0,373.2,314.0,931.0812854306112,636.74,547.5964,2024-01-11 13:00:00,2024-01-11 05:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_050000.png,0.0
2024-01-11 14:00:00,28.8,75,1.5,13.0,73,637.0,335.0,331.0,908.6099038303796,627.3176,539.4931359999999,2024-01-11 14:00:00,2024-01-11 06:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_060000.png,0.0
2024-01-11 15:00:00,29.4,76,0.2,12.6,74,541.0,386.7,207.0,811.6668567578611,531.4784000000001,457.071424,2024-01-11 15:00:00,2024-01-11 07:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_070000.png,0.0
2024-01-11 16:00:00,29.0,73,0.2,14.3,87,545.0,405.5,239.0,647.7510531424821,536.28,461.2008,2024-01-11 16:00:00,2024-01-11 08:00:00+00:00,data/satellite/2024/01/himawari_4d_20240111_080000.png,0.0
